Juz,13LineLength,Madani15LineLength,Prefix,13LinePageNumber,Madani15LinePageNumber
1,25,21,الم,2,1
2,28,20,سيقول السفهاء,29,22
3,28,20,تلك الرسل,57,42
4,28,20,لن تنال البر,85,62
5,28,20,والمحصنات,113,82
6,28,19,لا يحب الله,141,102
7,28,21,وإذا سمعوا,169,121
8,28,20,ولو أننا نزلنا,197,142
9,28,20,قال الملا,225,162
10,28,19,واعلموا أنما,253,182
11,28,21,يعتذرون إليكم,281,201
12,28,20,وما من دآبة,309,222
13,28,20,وما أبرئ,337,242
14,28,20,ربما يود,365,262
15,28,20,سبحان الذي,393,282
16,28,20,قال ألم,421,302
17,28,20,اقترب للناس,449,322
18,28,20,قد أفلح,477,342
19,28,20,وقال الذين,505,362
20,26,20,أمن خلق,533,382
21,28,20,أتل ما أوحي,559,402
22,26,20,ومن يقنت,587,422
23,30,20,ومالي لا,613,442
24,30,20,فمن أظلم,641,462
25,30,20,إليه يرد,667,482
26,30,20,حم,697,502
27,30,20,قال فما خطبكم,727,522
28,30,20,قد سمع الله,757,542
29,32,20,تبرك الذي,787,562
30,30,22,عم يتسائلون,819,582
